x,underlying,y
-1.0,14.791438,15.000739
-0.9989995,14.756562,15.165453
-0.997999,14.7216625,14.661374
-0.9969985,14.686739,14.898392
-0.995998,14.6517935,14.807986
-0.9949975,14.616825,14.836208
-0.993997,14.581835,15.395018
-0.9929965,14.5468235,13.731399
-0.991996,14.511791,13.565044
-0.99099547,14.47674,14.67777
-0.989995,14.441669,14.766476
-0.9889945,14.40658,14.421456
-0.987994,14.371473,14.029779
-0.9869935,14.336348,14.342236
-0.98599297,14.301206,14.789086
-0.9849925,14.266048,14.222022
-0.983992,14.230874,12.802346
-0.98299146,14.1956835,14.569569
-0.981991,14.160482,13.666127
-0.98099047,14.125265,13.574903
-0.97999,14.0900345,14.065239
-0.9789895,14.054791,14.185004
-0.97798896,14.019537,14.210169
-0.9769885,13.98427,14.028931
-0.975988,13.948993,13.719072
-0.97498745,13.913702,13.224236
-0.973987,13.878407,13.85136
-0.97298646,13.843099,14.043898
-0.971986,13.807786,13.983422
-0.9709855,13.772464,13.715955
-0.96998495,13.73713,13.391032
-0.9689845,13.7017975,13.524399
-0.96798396,13.666454,14.150998
-0.96698344,13.631104,14.235522
-0.965983,13.595755,13.535778
-0.96498245,13.560395,13.277618
-0.963982,13.525038,13.5456705
-0.96298146,13.489672,13.394801
-0.96198094,13.454307,12.789156
-0.9609805,13.418942,13.609444
-0.95998,13.3835745,14.453209
-0.9589795,13.348206,12.763698
-0.957979,13.312837,13.764206
-0.9569785,13.27747,13.240648
-0.95597804,13.242103,14.187499
-0.9549775,13.2067375,12.965041
-0.953977,13.171376,12.578261
-0.9529765,13.136018,14.462485
-0.951976,13.100662,12.84841
-0.9509755,13.065312,13.590064
-0.949975,13.029966,13.968282
-0.9489745,12.994627,13.900797
-0.947974,12.959293,13.017757
-0.9469735,12.923967,12.957557
-0.945973,12.888647,12.674902
-0.9449725,12.853337,12.537517
-0.943972,12.818035,12.043594
-0.94297147,12.782739,13.209554
-0.941971,12.747459,12.561516
-0.9409705,12.712187,12.650426
-0.93997,12.676926,12.474272
-0.9389695,12.641676,11.744765
-0.93796897,12.60644,12.244914
-0.9369685,12.571216,12.700411
-0.935968,12.536005,12.37125
-0.93496746,12.500807,13.146226
-0.933967,12.465629,11.057913
-0.9329665,12.430461,12.755937
-0.931966,12.395314,13.206397
-0.9309655,12.360182,12.795559
-0.92996496,12.325064,12.810218
-0.9289645,12.289969,11.304795
-0.927964,12.25489,12.585413
-0.92696345,12.219829,12.523962
-0.925963,12.184792,11.682086
-0.92496246,12.14977,11.496113
-0.923962,12.114774,11.991233
-0.9229615,12.079796,12.541523
-0.92196095,12.04484,12.505997
-0.9209605,12.009912,12.063927
-0.91995996,11.975001,11.558153
-0.91895944,11.940118,12.495627
-0.917959,11.905261,11.450774
-0.91695845,11.870425,12.740309
-0.915958,11.835621,12.417145
-0.91495746,11.800837,12.079717
-0.91395694,11.766082,12.724869
-0.9129565,11.731356,12.464882
-0.91195595,11.696658,10.659994
-0.9109554,11.661988,11.132803
-0.90995497,11.62735,11.484808
-0.90895444,11.59274,11.377024
-0.907954,11.558165,12.237913
-0.90695345,11.523615,11.299733
-0.90595293,11.4891,11.617489
-0.90495247,11.454618,11.738793
-0.903952,11.420172,11.5273485
-0.9029515,11.385755,10.845036
-0.901951,11.351376,11.59742
-0.9009505,11.31703,11.918445
-0.89995,11.282721,11.69026
-0.8989495,11.248447,11.596076
-0.897949,11.21421,11.666901
-0.8969485,11.18001,11.466612
-0.895948,11.145849,10.738103
-0.89494747,11.111723,11.054806
-0.893947,11.077642,11.5626335
-0.8929465,11.043596,10.743519
-0.891946,11.009596,10.234337
-0.8909455,10.975634,11.451993
-0.889945,10.94171,11.310282
-0.8889445,10.907835,11.185036
-0.887944,10.874,11.220457
-0.88694346,10.840204,10.031072
-0.885943,10.806459,10.586208
-0.8849425,10.772753,10.676337
-0.883942,10.739099,9.65293
-0.8829415,10.7054825,10.997426
-0.88194096,10.671917,10.098218
-0.8809405,10.638401,11.049164
-0.87994,10.604926,10.244669
-0.87893945,10.571504,10.245421
-0.877939,10.538132,10.127693
-0.87693846,10.504804,10.304529
-0.875938,10.47153,10.524803
-0.8749375,10.438303,9.797526
-0.87393695,10.405129,10.958234
-0.8729365,10.372007,10.15839
-0.87193596,10.338937,11.254179
-0.87093544,10.30592,10.770333
-0.869935,10.272957,10.329252
-0.86893445,10.2400465,9.850967
-0.867934,10.207193,10.5601845
-0.86693347,10.174391,9.424895
-0.86593294,10.141645,10.418312
-0.8649325,10.108958,10.974738
-0.86393195,10.076326,10.615281
-0.86293143,10.043753,9.770703
-0.86193097,10.011236,9.414456
-0.86093044,9.978779,9.692448
-0.85993,9.946381,9.31617
-0.85892946,9.9140415,10.249751
-0.85792893,9.881763,9.100204
-0.85692847,9.8495455,9.491857
-0.85592794,9.817389,10.196197
-0.8549274,9.785294,10.206432
-0.85392696,9.753262,9.325535
-0.85292643,9.7212925,9.157802
-0.85192597,9.689386,9.1301565
-0.85092545,9.657545,10.3579645
-0.8499249,9.625768,9.567448
-0.84892446,9.594057,10.874374
-0.847924,9.562413,9.686384
-0.8469235,9.530832,10.33683
-0.845923,9.499321,8.970801
-0.8449225,9.467875,8.654746
-0.843922,9.4365,9.195151
-0.8429215,9.405189,9.446444
-0.841921,9.373948,9.478495
-0.8409205,9.342781,8.569972
-0.8399199,9.311678,8.904924
-0.8389194,9.280648,10.070115
-0.83791894,9.249691,9.6599865
-0.8369184,9.218803,9.3428135
-0.83591795,9.18799,9.275131
-0.8349174,9.157249,9.13822
-0.8339169,9.126578,9.498683
-0.83291644,9.095987,9.2914505
-0.831916,9.065467,8.586047
-0.83091545,9.035023,8.825062
-0.829915,9.004653,8.001909
-0.82891446,8.9743595,9.251702
-0.827914,8.944144,9.159088
-0.8269135,8.914002,9.3473835
-0.82591295,8.883939,9.018343
-0.8249125,8.853954,8.602201
-0.82391196,8.824049,9.087515
-0.82291144,8.794222,9.373106
-0.821911,8.764474,8.860505
-0.82091045,8.734807,9.163466
-0.81991,8.705219,8.330919
-0.81890947,8.6757145,9.181758
-0.81790894,8.64629,8.963408
-0.8169085,8.616948,8.510649
-0.81590796,8.587688,8.661263
-0.81490743,8.558512,8.515471
-0.81390697,8.529419,8.684643
-0.81290644,8.500409,8.317776
-0.811906,8.471486,7.6991873
-0.81090546,8.442646,8.472147
-0.80990493,8.413892,8.876371
-0.80890447,8.385224,8.392908
-0.80790395,8.356644,8.556339
-0.8069034,8.328148,8.628548
-0.80590296,8.299742,8.358355
-0.80490243,8.271422,7.9528327
-0.803902,8.243193,8.0609255
-0.80290145,8.21505,8.151655
-0.8019009,8.186996,8.079386
-0.80090046,8.159035,8.502536
-0.79989994,8.131163,7.8811927
-0.7988994,8.103379,8.253608
-0.79789895,8.07569,8.096077
-0.7968984,8.04809,8.237508
-0.79589796,8.020586,8.515558
-0.79489744,7.9931707,7.7072773
-0.7938969,7.9658494,8.047722
-0.79289645,7.9386225,8.354059
-0.7918959,7.9114885,8.661889
-0.7908954,7.8844485,7.899137
-0.78989494,7.8575053,7.514942
-0.7888944,7.830656,7.6818643
-0.78789395,7.8039036,8.281635
-0.7868934,7.7772455,7.7365556
-0.7858929,7.7506847,7.5774555
-0.78489244,7.724222,7.7952833
-0.7838919,7.697855,7.747947
-0.7828914,7.671587,7.7419415
-0.7818909,7.6454177,7.500948
-0.7808904,7.6193457,7.0278234
-0.77988994,7.5933757,7.1325912
-0.7788894,7.567503,6.853648
-0.7778889,7.5417295,6.5022874
-0.77688843,7.516059,7.3842998
-0.77588797,7.490489,7.9537096
-0.77488744,7.46502,8.283734
-0.773887,7.4396524,6.719616
-0.77288646,7.4143863,7.31665
-0.771886,7.389223,7.759651
-0.77088547,7.3641624,8.058528
-0.76988494,7.3392053,7.3961267
-0.7688845,7.314353,7.4642854
-0.7678839,7.289601,6.9955087
-0.7668834,7.2649565,7.683095
-0.7658829,7.240417,6.9047165
-0.7648824,7.2159824,7.1810145
-0.7638819,7.1916547,7.8389072
-0.7628814,7.1674304,6.5709286
-0.7618809,7.143314,6.8343906
-0.7608804,7.1193056,7.154895
-0.75987995,7.0954046,6.3244133
-0.7588794,7.0716085,7.596995
-0.75787896,7.047923,6.4401937
-0.75687844,7.0243435,7.2966695
-0.755878,7.000875,7.644872
-0.75487745,6.977514,7.4014063
-0.7538769,6.954262,6.919046
-0.75287646,6.931122,6.906072
-0.75187594,6.9080887,6.4350166
-0.7508754,6.8851676,5.7378464
-0.74987495,6.8623586,6.167157
-0.7488744,6.839659,6.045808
-0.74787396,6.817073,6.611595
-0.74687344,6.794596,6.2964582
-0.7458729,6.7722325,5.8107843
-0.74487245,6.7499833,7.766291
-0.7438719,6.7278447,7.6434937
-0.7428714,6.70582,6.9176445
-0.74187094,6.68391,7.0115623
-0.7408704,6.662112,6.4606566
-0.73986995,6.640431,6.3299384
-0.7388694,6.6188617,5.9569387
-0.7378689,6.597407,7.5447717
-0.73686844,6.5760694,7.8380713
-0.7358679,6.5548472,7.449692
-0.7348674,6.5337396,7.648543
-0.73386693,6.5127497,6.070491
-0.7328664,6.4918747,6.511178
-0.73186594,6.4711175,5.3459687
-0.7308654,6.4504766,5.8561974
-0.7298649,6.429953,5.8978333
-0.72886443,6.4095488,6.125126
-0.7278639,6.3892603,6.2681212
-0.7268634,6.369091,6.407881
-0.7258629,6.349041,6.118958
-0.7248624,6.329108,5.9974318
-0.72386193,6.3092966,5.824841
-0.7228614,6.289602,6.7010245
-0.7218609,6.2700276,6.748652
-0.7208604,6.250575,6.2388563
-0.71985996,6.231242,5.9875984
-0.71885943,6.2120285,6.177684
-0.71785897,6.1929364,6.6112437
-0.71685845,6.1739635,6.5476184
-0.715858,6.155115,6.8294544
-0.71485746,6.136386,6.3254175
-0.71385694,6.117778,6.139011
-0.7128565,6.0992947,6.112896
-0.7118559,6.0809298,6.5644975
-0.71085536,6.06269,5.3998985
-0.7098549,6.044573,5.925477
-0.7088544,6.0265784,5.78871
-0.7078539,6.0087075,5.218434
-0.7068534,5.9909596,6.4231086
-0.70585287,5.9733353,5.7642813
-0.7048524,5.9558353,6.2842865
-0.70385194,5.9384604,5.6786904
-0.7028514,5.9212084,6.203775
-0.70185095,5.904083,6.0543766
-0.7008504,5.8870807,6.3684106
-0.69984996,5.870205,7.046703
-0.69884944,5.8534527,5.4402146
-0.6978489,5.8368263,6.10443
-0.69684845,5.8203263,5.629401
-0.6958479,5.8039513,5.9334025
-0.6948474,5.787703,5.120996
-0.69384694,5.7715807,6.020062
-0.6928464,5.7555857,6.4233227
-0.69184595,5.739717,5.489794
-0.69084543,5.7239747,6.219248
-0.6898449,5.7083583,5.973425
-0.68884444,5.692872,5.9931207
-0.6878439,5.6775107,5.8707805
-0.6868434,5.662277,5.944479
-0.68584293,5.6471725,4.900968
-0.6848424,5.6321955,4.610141
-0.68384194,5.6173472,5.6038327
-0.6828414,5.602626,4.9273596
-0.6818409,5.588033,6.1822395
-0.68084043,5.5735703,4.886182
-0.6798399,5.5592346,5.5777817
-0.6788394,5.5450287,5.6931486
-0.6778389,5.5309515,4.6550922
-0.6768384,5.517004,5.1867304
-0.67583793,5.5031857,5.578873
-0.6748374,5.489496,5.582055
-0.6738369,5.4759374,5.4363337
-0.6728364,5.4625077,5.64396
-0.6718359,5.449208,4.6954947
-0.6708354,5.436038,5.595287
-0.6698349,5.422998,4.653409
-0.6688344,5.4100885,5.437678
-0.6678339,5.39731,5.0083146
-0.6668334,5.384661,6.6139073
-0.6658329,5.3721433,5.162098
-0.6648324,5.359757,5.411221
-0.6638319,5.3475,5.377347
-0.66283137,5.335374,5.4134216
-0.6618309,5.3233805,6.249447
-0.6608304,5.3115163,5.4094825
-0.6598299,5.299785,4.889074
-0.6588294,5.288184,5.4147315
-0.65782887,5.2767153,5.13202
-0.6568284,5.2653775,5.6643
-0.6558279,5.2541704,5.196557
-0.65482736,5.2430964,4.8956213
-0.6538269,5.232154,5.283104
-0.65282637,5.221343,4.446558
-0.6518259,5.2106643,5.041865
-0.6508254,5.200116,5.8221607
-0.64982486,5.189702,5.2839704
-0.6488244,5.1794186,5.906707
